Fecha;year;month;day;day_name;Veh;Linea;Descripcion;Correccion;Sistema;Retraso_minutos;Causó_desalojo;Porcentaje_desalojo;Supervisor_reviso;Cat;Fiabilidad_Servicio
2021-09-10;2021;9;10;Friday;1;1;pantografo replegado;pantografo disparado se normaliza;pantografo;2.0;0;0.0;2269;3;0
2021-10-13;2021;10;13;Wednesday;1;1;falla de cet;se cambio tiristor de cet;convertidor de traccion;2.0;0;0.0;1379;1;0
2021-10-17;2021;10;17;Sunday;1;1;falla de cet;se cambia tiristor de ondulador;convertidor de traccion;1.0;0;0.0;1379;1;0
2022-03-03;2022;3;3;Thursday;1;1;no frena conductor aplico fu;se cambio manipulador;manipulador;3.0;1;90.0;1319;1;1
2022-06-04;2022;6;4;Saturday;1;1;falla de compresor;se reparo valvula check;compresor de aire;0.0;0;0.0;2485;3;0
2023-02-16;2023;2;16;Thursday;1;1;falla de ventiladores de equipo;se corrigio conector de sibas;unidad de control de traccion;3.0;1;60.0;1319;1;1
2023-02-23;2023;2;23;Thursday;1;1;falla de ventiladores de equipo;se restablecio ventilador rf;ventiladores de equipo;2.0;1;40.0;1379;1;1
2023-02-28;2023;2;28;Tuesday;1;1;bloqueo a 32 bars;se cambia un hiperblock de m2;acoplador;10.0;1;10.0;3288;3;1
2023-03-15;2023;3;15;Wednesday;1;1;falla de convertidor de traccion;se cambio gateunit;convertidor de traccion;11.0;1;60.0;1379;1;1
2023-03-30;2023;3;30;Thursday;1;1;falla de paratren;se corrigio falso en fusible de alimentacion;paratren;4.0;1;30.0;2274;1;1
2023-03-31;2023;3;31;Friday;1;1;falla de paratren;se cambio do cc y fusible;paratren;15.0;1;30.0;2269;1;1
2023-04-04;2023;4;4;Tuesday;1;1;paratren se apaga;se cambio cable de captor;paratren;1.0;0;0.0;915;1;0
2023-04-18;2023;4;18;Tuesday;1;1;falla de frenado;se restablecio ventilador de cap;ventiladores de equipo;0.0;0;0.0;2485;1;0
2023-06-18;2023;6;18;Sunday;1;1;falla de mcp;se reapreto conector de valv descarga;compresor de aire;3.0;0;0.0;3288;3;0
2023-06-30;2023;6;30;Friday;1;1;bloqueo a 32 bars;se ajustan acoplamientos ;acoplador;0.0;0;0.0;3288;3;0
2023-09-04;2023;9;4;Monday;1;1;no da mantenimiento de cierre;se ajusto regulador de puertas;puertas;4.0;1;50.0;2269;3;1
2023-09-14;2023;9;14;Thursday;1;1;pantografo se dana al colisionar con catenaria;se cambia pantografo;pantografo;20.0;0;0.0;2269;2;1
2023-11-16;2023;11;16;Thursday;1;1;bloqueo a 2 bars;fusibles de baja tension danados;se cambian fusibles;4.0;0;0.0;2485;1;0
2023-11-22;2023;11;22;Wednesday;1;1;fuga de aire bajo bastidor;se corrige fuga en tanque de 250 lts;tuberias y mangueras neumaticas;0.0;0;0.0;2274;3;0
2023-12-06;2023;12;6;Wednesday;1;1;bloqueo a 32 bars ;se cambio fusible de linea 55;fusibles de baja tension;10.0;1;90.0;3288;2;1
2023-12-14;2023;12;14;Thursday;1;1;blooque a 32 bars;se cambio portafusible de linea 55;fusibles de baja tension;7.0;1;60.0;3288;3;1
2024-01-11;2024;1;11;Thursday;1;1;sobrevelocidad y falla de ventiladores de equipo;se restablece guardamotor mvrf;ventiladores de equipo;0.0;0;0.0;542;2;0
2024-01-12;2024;1;12;Friday;1;1;micas ambar de transito m2 encendidas;se ajustan acopladores se colocan hiper bloq rigidos y perno al 31m2;acoplador;0.0;0;0.0;2485;3;0
2024-02-25;2024;2;25;Sunday;1;1;reportan falla frenado ;se cambia tarjeta aa1;unidad electronica de frenado;0.0;0;0.0;2274;1;0
2024-03-10;2024;3;10;Sunday;1;1;bloqueo a 0 bar s ;arco electrico en rfs;resistencias de frenado;0.0;0;0.0;542;2;0
2024-06-05;2024;6;5;Wednesday;1;1;pantografo se atora con catenaria;se realizo cambio de pantografo;pantografo;0.0;0;0.0;2274;3;0
2024-06-11;2024;6;11;Tuesday;1;1;reportan falla mcp;se corrigio fuga en el separador de aceite;compresor de aire;0.0;0;0.0;2269;3;0
2024-08-01;2024;8;1;Thursday;1;1;baja presion en tuberia de equilibrio;se ajusta pcp en v27 ;compresor de aire;0.0;0;0.0;2274;3;0
2024-08-04;2024;8;4;Sunday;1;1;presenta falla de mcp;se cambia valvula pilotaje tanque 250 lts;depositos de aire;0.0;0;0.0;2485;3;0
2024-08-15;2024;8;15;Thursday;1;1;presenta soneria de ruptor sin provocar bloqueo a la traccion;se revisan ruptores;interiores de vehiculo;0.0;0;0.0;2269;2;0
2024-09-05;2024;9;5;Thursday;1;1;reportan falla vent equipo;restablecen guardamotor del ventilador de las rf s;ventiladores de equipo;0.0;0;0.0;2274;2;0
2024-11-12;2024;11;12;Tuesday;1;1;lampara cartero encendida y sonido de ruptor ;cabledo danado en articulacion se reparo ok quedo disponible;articulacion;6.0;1;30.0;2485;3;1
2025-01-19;2025;1;19;Sunday;1;1;pantografo replegado ;se cambian baleros y fusible de pantografo directo;pantografo;6.0;1;30.0;2485;3;1
2025-02-08;2025;2;8;Saturday;1;1;bloqueo a 32 bar y falla de compresor intermitente ;se repone nivel de aceite al compresor de aire del v40 y 01 tambien se ajusta prestotato de los 3;compresor de aire;6.0;1;80.0;2285;3;1
2016-02-08;2016;2;8;Monday;2;1;barra de paratren quebrada;se cambia barra e iman;bastidores y carroceria;0.0;0;0.0;740;3;0
2016-02-11;2016;2;11;Thursday;2;1;fuga de aceite en compresor;se repara valvula de descarga;compresor de aire;1.5;0;0.0;1285;3;0
2016-03-30;2016;3;30;Wednesday;2;1;respaldo de asiento de conductor quebrado;se cambia asiento;cabina;0.0;0;0.0;289;3;0
2016-04-12;2016;4;12;Tuesday;2;1;puerta 4 der no cierra;se cambia seguidor;puertas;3.0;1;100.0;1285;3;1
2016-04-18;2016;4;18;Monday;2;1;no se escucha motriz inactiva;se cambia tfe;radio y voceo;0.0;0;0.0;593;1;0
2016-08-19;2016;8;19;Friday;2;1;3a y 6a puerta izquierda abiertas 6 cms;se ajustan bkp;puertas;2.0;0;0.0;740;2;0
2016-09-09;2016;9;9;Friday;2;1;bloqueo 32 bars sin senalizacion;se reviza y se cambia scp y se reviza conec;control de puertas y velocidad;0.0;0;0.0;1285;1;0
2017-02-16;2017;2;16;Thursday;2;1;bloqueo a 0 bars con falla de cet;en revision;convertidor de traccion;0.0;0;0.0;593;1;0
